x,rho,rhou,rhoE,u,p
0,0.981647,0.263932,2.51136,0.268866,0.990353
0.00010001,0.98177,0.263967,2.51151,0.268868,0.990411
0.00020002,0.981892,0.264001,2.51166,0.26887,0.990469
0.00030003,0.982014,0.264036,2.51181,0.268872,0.990528
0.00040004,0.982136,0.264071,2.51197,0.268874,0.990586
0.00050005,0.982258,0.264106,2.51212,0.268876,0.990644
0.00060006,0.98238,0.26414,2.51227,0.268878,0.990703
0.00070007,0.982502,0.264175,2.51242,0.26888,0.990761
0.00080008,0.982624,0.26421,2.51257,0.268882,0.990819
0.00090009,0.982746,0.264245,2.51272,0.268884,0.990878
0.0010001,0.982868,0.26428,2.51287,0.268886,0.990936
0.00110011,0.982991,0.264315,2.51302,0.268888,0.990994
0.00120012,0.983113,0.26435,2.51317,0.26889,0.991053
0.00130013,0.983235,0.264384,2.51332,0.268892,0.991111
0.00140014,0.983357,0.264419,2.51347,0.268895,0.991169
0.00150015,0.983479,0.264454,2.51362,0.268897,0.991228
0.00160016,0.983601,0.264489,2.51378,0.268899,0.991286
0.00170017,0.983723,0.264524,2.51393,0.268901,0.991344
0.00180018,0.983846,0.264559,2.51408,0.268903,0.991403
0.00190019,0.983968,0.264594,2.51423,0.268905,0.991461
0.0020002,0.98409,0.264629,2.51438,0.268907,0.991519
0.00210021,0.984212,0.264664,2.51453,0.26891,0.991578
0.00220022,0.984334,0.264699,2.51468,0.268912,0.991636
0.00230023,0.984457,0.264734,2.51483,0.268914,0.991695
0.00240024,0.984579,0.264769,2.51498,0.268916,0.991753
0.00250025,0.984701,0.264804,2.51513,0.268919,0.991811
0.00260026,0.984823,0.264839,2.51529,0.268921,0.99187
0.00270027,0.984946,0.264875,2.51544,0.268923,0.991928
0.00280028,0.985068,0.26491,2.51559,0.268925,0.991987
0.00290029,0.98519,0.264945,2.51574,0.268928,0.992045
0.0030003,0.985312,0.26498,2.51589,0.26893,0.992104
