x,rho,rhou,rhoE,u,p
0,1,0.3,2.545,0.3,1
0.00010001,1.00013,0.300038,2.54516,0.3,1.00006
0.00020002,1.00025,0.300075,2.54533,0.3,1.00013
0.00030003,1.00038,0.300113,2.54549,0.3,1.00019
0.00040004,1.0005,0.300151,2.54565,0.3,1.00025
0.00050005,1.00063,0.300189,2.54581,0.3,1.00031
0.00060006,1.00075,0.300226,2.54598,0.3,1.00038
0.00070007,1.00088,0.300264,2.54614,0.3,1.00044
0.00080008,1.00101,0.300302,2.5463,0.3,1.0005
0.00090009,1.00113,0.300339,2.54646,0.3,1.00057
0.0010001,1.00126,0.300377,2.54663,0.3,1.00063
0.00110011,1.00138,0.300415,2.54679,0.3,1.00069
0.00120012,1.00151,0.300452,2.54695,0.3,1.00075
0.00130013,1.00163,0.30049,2.54712,0.3,1.00082
0.00140014,1.00176,0.300528,2.54728,0.3,1.00088
0.00150015,1.00189,0.300566,2.54744,0.3,1.00094
0.00160016,1.00201,0.300603,2.5476,0.3,1.00101
0.00170017,1.00214,0.300641,2.54777,0.3,1.00107
0.00180018,1.00226,0.300679,2.54793,0.3,1.00113
0.00190019,1.00239,0.300716,2.54809,0.3,1.00119
0.0020002,1.00251,0.300754,2.54825,0.3,1.00126
0.00210021,1.00264,0.300792,2.54842,0.3,1.00132
0.00220022,1.00276,0.300829,2.54858,0.3,1.00138
0.00230023,1.00289,0.300867,2.54874,0.3,1.00145
0.00240024,1.00302,0.300905,2.54891,0.3,1.00151
0.00250025,1.00314,0.300943,2.54907,0.3,1.00157
0.00260026,1.00327,0.30098,2.54923,0.3,1.00163
0.00270027,1.00339,0.301018,2.54939,0.3,1.0017
0.00280028,1.00352,0.301056,2.54956,0.3,1.00176
0.00290029,1.00364,0.301093,2.54972,0.3,1.00182
0.0030003,1.00377,0.301131,2.54988,0.3,1.00189
0.00310031,1.0039,0.301169,2.55004,0.3,1.00195
0.00320032,1.00402,0.301206,2.55021,0.3,1.00201
0.00330033,1.00415,0.301244,2.55037,0.3,1.00207
0.00340034,1.00427,0.301282,2.55053,0.3,1.00214
0.00350035,1.0044,0.301319,2.5507,0.3,1.0022
0.00360036,1.00452,0.301357,2.55086,0.3,1.00226
0.00370037,1.00465,0.301395,2.55102,0.3,1.00232
0.00380038,1.00478,0.301433,2.55118,0.3,1.00239
0.00390039,1.0049,0.30147,2.55135,0.3,1.00245
0.0040004,1.00503,0.301508,2.55151,0.3,1.00251
0.00410041,1.00515,0.301546,2.55167,0.3,1.00258
0.00420042,1.00528,0.301583,2.55183,0.3,1.00264
0.00430043,1.0054,0.301621,2.552,0.3,1.0027
0.00440044,1.00553,0.301659,2.55216,0.3,1.00276
0.00450045,1.00565,0.301696,2.55232,0.3,1.00283
0.00460046,1.00578,0.301734,2.55249,0.3,1.00289
0.00470047,1.00591,0.301772,2.55265,0.3,1.00295
0.00480048,1.00603,0.301809,2.55281,0.3,1.00302
0.00490049,1.00616,0.301847,2.55297,0.3,1.00308
0.0050005,1.00628,0.301885,2.55314,0.3,1.00314
0.00510051,1.00641,0.301923,2.5533,0.3,1.0032
0.00520052,1.00653,0.30196,2.55346,0.3,1.00327
0.00530053,1.00666,0.301998,2.55362,0.3,1.00333
0.00540054,1.00679,0.302036,2.55379,0.3,1.00339
0.00550055,1.00691,0.302073,2.55395,0.3,1.00346
0.00560056,1.00704,0.302111,2.55411,0.3,1.00352
0.00570057,1.00716,0.302149,2.55427,0.3,1.00358
0.00580058,1.00729,0.302186,2.55444,0.3,1.00364
0.00590059,1.00741,0.302224,2.5546,0.3,1.00371
0.0060006,1.00754,0.302262,2.55476,0.3,1.00377
0.00610061,1.00766,0.302299,2.55493,0.3,1.00383
0.00620062,1.00779,0.302337,2.55509,0.3,1.00389
0.00630063,1.00792,0.302375,2.55525,0.3,1.00396
0.00640064,1.00804,0.302412,2.55541,0.3,1.00402
0.00650065,1.00817,0.30245,2.55558,0.3,1.00408
0.00660066,1.00829,0.302488,2.55574,0.3,1.00415
0.00670067,1.00842,0.302525,2.5559,0.3,1.00421
0.00680068,1.00854,0.302563,2.55606,0.3,1.00427
0.00690069,1.00867,0.302601,2.55623,0.3,1.00433
0.0070007,1.00879,0.302638,2.55639,0.3,1.0044
0.00710071,1.00892,0.302676,2.55655,0.3,1.00446
